id,node1,node2,is_linked,max_flow
0,939,3809,1,1
1,2442,5784,1,3
2,179,3809,1,4
3,857,2280,1,7
4,1358,5722,1,2
5,1459,5039,1,1
6,6323,6810,0,1
7,1114,6614,1,2
8,867,2528,0,1
9,4298,6452,1,1
10,2366,3087,1,11
11,1695,5788,1,4
12,4749,7174,1,1
13,520,616,1,7
14,4328,5380,1,2
15,3396,5750,0,1
16,1423,3480,1,1
17,236,277,0,1
18,38,4720,0,2
19,70,4674,1,1
20,1214,4629,0,1
21,538,1593,0,1
22,1261,5722,1,8
23,5518,7098,1,1
24,2280,4383,1,3
25,1111,2153,0,1
26,4187,5404,0,2
27,5462,7272,1,4
28,5363,7405,1,2
29,2338,4718,0,1
30,4585,6909,1,2
31,887,5353,1,1
32,6961,7039,1,3
33,32,4422,1,8
34,964,5762,0,1
35,779,2880,1,5
36,3377,5673,0,1
37,435,3428,0,1
38,902,6415,0,1
39,2324,6363,0,1
40,2167,4956,0,3
41,3305,3348,1,4
42,3332,4613,0,1
43,5792,7426,1,6
44,1664,3654,1,1
45,4860,6291,0,1
46,2016,5335,0,1
47,4,5956,1,2
48,5030,6347,1,1
49,3087,7124,1,16
50,3778,4298,1,1
51,6120,6354,0,1
52,2413,3809,1,2
53,9,460,0,1
54,318,4883,0,1
55,1745,5247,0,1
56,1512,3809,1,1
57,2494,4167,0,1
58,1867,2070,0,1
59,759,3604,1,6
60,2021,2780,1,1
61,2590,5565,0,1
62,1929,5347,1,4
63,2480,7118,1,2
64,2574,6505,0,1
65,2363,5560,0,2
66,1525,1985,0,3
67,4707,5006,1,2
68,364,4571,1,2
69,60,5169,1,1
70,2877,4011,1,1
71,114,6217,0,3
72,6037,7433,0,1
73,2748,3809,1,4
74,3157,7571,1,3
75,2661,4746,0,1
76,2751,6777,0,1
77,1750,6868,1,1
78,993,6200,0,1
79,1818,4586,0,1
80,2274,4031,1,2
81,1558,5598,1,3
82,5780,7248,0,1
83,3976,7256,1,6
84,2113,4383,1,3
85,696,7174,0,1
86,2887,5026,1,3
87,3902,4972,0,2
88,1234,5759,0,1
89,3571,6755,1,1
90,241,688,0,1
91,887,2099,1,13
92,5074,7120,0,1
93,288,6338,0,1
94,765,6684,0,1
95,5590,6262,1,3
96,5359,7198,0,1
97,3837,5895,1,2
98,683,7214,0,1
99,1705,2058,0,1
100,5969,7430,1,2
101,3428,3543,1,2
102,3600,5147,0,1
103,2553,3809,1,1
104,787,811,0,1
105,1815,7014,0,1
106,4076,5854,0,3
107,157,7382,0,1
108,3461,7496,1,1
109,6384,7278,1,1
110,1826,2632,1,3
111,2528,6112,0,1
112,1466,5880,1,1
113,811,7103,1,1
114,2630,3604,1,2
115,55,4401,0,2
116,4971,5335,0,1
117,3925,4156,0,1
118,331,4692,1,5
119,1177,3809,1,1
120,3157,4166,1,3
121,1791,6961,1,1
122,1979,3809,1,1
123,3764,5816,0,1
124,5203,6333,0,1
125,297,7007,0,1
126,504,3601,1,3
127,4632,6695,0,1
128,364,5915,0,1
129,242,4471,1,1
130,1406,7426,1,1
131,836,1638,1,10
132,3173,7389,0,1
133,2099,2973,1,4
134,533,2909,0,1
135,6619,7084,1,3
136,2635,5405,0,1
137,5728,6281,1,2
138,1924,2001,0,1
139,2615,5100,0,1
140,312,4930,0,1
141,6090,6802,0,1
142,439,2187,0,1
143,5359,6588,0,1
144,3393,3639,1,2
145,364,2891,0,1
146,366,3951,1,1
147,49,3131,1,3
148,161,4337,1,5
149,3469,3699,0,1
150,1896,7449,1,1
151,6558,6812,1,3
152,235,3601,1,2
153,3881,4852,1,1
154,516,2458,0,2
155,492,4388,0,1
156,5541,7248,1,2
157,4852,6660,0,1
158,5294,5421,1,2
159,2208,5101,1,2
160,61,3809,1,1
161,3525,3809,1,7
162,2063,6174,0,1
163,1721,6961,1,2
164,6628,7479,1,3
165,1490,1915,1,2
166,3526,4400,0,1
167,5906,6848,0,1
168,1874,4251,1,2
169,368,4279,1,8
170,4037,5006,1,3
171,188,4059,0,4
172,716,7161,0,1
173,740,5803,1,5
174,1148,3314,1,6
175,1376,3025,0,1
176,1173,6156,0,1
177,2208,6225,1,2
178,2783,4813,0,1
179,993,4772,0,2
180,3855,7571,1,1
181,1759,6460,0,1
182,188,7518,1,10
183,1262,3492,0,1
184,2610,4963,1,1
185,3599,5382,0,1
186,4718,6078,0,1
187,4422,5560,1,13
188,712,6198,1,1
189,2216,3834,1,1
190,4013,5012,0,1
191,3520,4451,1,1
192,4309,7177,1,1
193,703,1548,1,1
194,2287,4004,0,1
195,932,4859,1,4
196,680,3154,0,1
197,2706,6378,1,7
198,2076,7165,1,1
199,2023,4586,0,1
200,592,3133,0,1
201,295,3923,1,1
202,370,1908,1,2
203,87,408,1,4
204,4706,4870,1,2
205,1164,6322,0,1
206,1143,5056,0,1
207,1815,2538,0,1
208,690,6323,1,3
209,2558,5384,1,2
210,1461,3864,0,1
211,4277,6941,0,1
212,562,7399,0,2
213,3505,4149,1,2
214,2623,3742,0,1
215,2474,4928,0,1
216,4461,4512,0,1
217,3673,3809,1,3
218,274,5464,0,2
219,1994,7468,1,1
220,1006,2031,0,1
221,424,5119,1,1
222,1548,2403,1,11
223,5636,7571,1,12
224,2113,2737,1,3
225,1226,4827,0,1
226,1422,6422,1,3
227,1864,3901,1,1
228,4822,5924,0,1
229,463,7272,1,4
230,1513,6180,1,2
231,7111,7514,0,2
232,448,3115,1,2
233,808,849,0,1
234,1002,3809,1,2
235,2320,2957,1,5
236,2761,7272,1,2
237,6,5020,0,1
238,1297,4988,0,1
239,809,1868,0,1
240,10,2708,1,4
241,4939,5929,1,2
242,4621,7342,0,1
243,3219,5984,0,2
244,1359,3483,1,2
245,887,3543,1,18
246,1526,2316,0,1
247,5793,5864,1,1
248,453,5013,1,1
249,2987,6108,1,3
250,350,3809,1,1
251,271,5854,1,4
252,2170,4870,0,3
253,4013,6941,0,1
254,1831,2461,0,1
255,2540,7196,0,1
256,3120,4265,0,1
257,523,2629,1,4
258,1351,1681,0,1
259,771,1354,1,2
260,5900,6932,0,1
261,3976,6337,0,1
262,2614,6332,0,1
263,3485,3809,1,1
264,2975,3304,1,4
265,424,472,0,1
266,2319,5013,0,1
267,1554,6929,0,1
